,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
9026,Spanish,Plate (folio 28) from EL PA A LA BARCA,Antoni Tàpies,1923.0,2012.0,Male,1963,Prints & Illustrated Books
9027,German,Dying Soldier (Sterbender Soldat) from The War (Der Krieg),Otto Dix,1891.0,1969.0,Male,1924,Prints & Illustrated Books
9028,Russian,"Novyi LEF. Zhurnal levogo fronta iskusstv, 11",Aleksandr Rodchenko,1891.0,1956.0,Male,1928,Architecture & Design
9029,French,Virile Profile (Profil viril) (plate XXIII) from MATIÈRE ET MÉMOIRE OU LES LITHOGRAPHIES À L'ÉCOLE,Jean Dubuffet,1901.0,1985.0,Male,1944,Prints & Illustrated Books
9030,American,(Untitled),Kosti Ruohomaa,,,Gender Unknown,1953,Photography
9031,French,Panthéon,Eugène Atget,1857.0,1927.0,Male,1912,Photography
9032,,Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,,,Gender Unknown,1914,Prints & Illustrated Books
9033,Russian,Moe otkrytie Ameriki,Aleksandr Rodchenko,1891.0,1956.0,Male,1926,Prints & Illustrated Books
9034,American,"Trestle Bridge, at Whiteside from the album Photographic Views of Sherman's Campaign",George Barnard,1819.0,1902.0,Male,1864,Photography
9035,Chilean,"Casa La Villa, La Dehesa, Chile",Juan Baixas,1942.0,,Male,1980,Architecture & Design
9036,Italian,Plate (folio 11 verso) from DIECI POETI AMERICANI,Angelo Savelli,1911.0,1995.0,Male,1963,Prints & Illustrated Books
9037,American,MAN,Joel Meyerowitz,1938.0,,Male,1963,Photography
9038,French,Petit Trianon,Eugène Atget,1857.0,1927.0,Male,1912,Photography
9039,Chilean,"Duplicate of plate from page 21 (supplementary suite, plate 5) from LES VOIX",Roberto Matta,1911.0,2002.0,Male,1963,Prints & Illustrated Books
9040,American,Untitled,Louise Bourgeois,1911.0,2010.0,Female,1999,Prints & Illustrated Books
9041,Spanish,Double page frontispiece from LLULL,Antoni Tàpies,1923.0,2012.0,Male,1985,Prints & Illustrated Books
9042,American,The Skull Globe,Raymond Pettibon,1957.0,,Male,1985,Prints & Illustrated Books
9043,American,Reality as a Stage Set,Clarence John Laughlin,1905.0,1985.0,Male,1965,Photography
9044,American,Independence/Nakba,Fazal Sheikh,1965.0,,Male,2013,Photography
9045,American,Donald's Double Trouble,Jack King,1895.0,1958.0,Gender Unknown,1946,Film
9046,American,"Reichsbank Project, Berlin-Mitte, Germany (Perspective view study of rear facade)",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1933,Architecture & Design
9047,German,Minette,Max Beckmann,1884.0,1950.0,Male,1922,Prints & Illustrated Books
9048,French,In-text plate (page 101) from OEUVRES,Gustave Doré,1832.0,1883.0,Male,1854,Prints & Illustrated Books
9049,American,Untitled,Alexander Liberman,1912.0,1999.0,Male,1962,Prints & Illustrated Books
9050,American,"Agriculture: Studying the marsh, or, formation of soil by quiet water and plants",Frances Benjamin Johnston,1864.0,1952.0,Female,1900,Photography
9051,Croatian,Gorgona no. 8,Gorgona artists group,1959.0,1966.0,Gender Unknown,1965,Prints & Illustrated Books
9052,American,Untitled,Louise Bourgeois,1911.0,2010.0,Female,2002,Prints & Illustrated Books
9053,French,Tailpiece (folio 46 verso) from LES OEUVRES BURLESQUES ET MYSTIQUES DE FRÈRE MATOREL MORT AU COUVENT,André Derain,1880.0,1954.0,Male,1909,Prints & Illustrated Books
9054,American,"Marilyn Monroe I Love Your Kiss Forever Forever (double page headpiece, pages 112 and 113) from 1¢ Life",Andy Warhol,1928.0,1987.0,Male,1964,Prints & Illustrated Books
9055,French,"Zemphira, costume design for Aleko (Scene I)",Marc Chagall,1887.0,1985.0,Male,1942,Drawings
9056,French,"THE CAKE OF KINGS (plate, page 8) from ALMANACH DE COCAGNE: Pour l'an 1921",Pierre Roy,1880.0,1950.0,Male,1920,Prints & Illustrated Books
9057,American,"Waiting Room, Baroness Erlanger Hospital, Chattanooga, Tennessee",Rosalind Fox Solomon,1930.0,,Female,1975,Photography
9058,American,Washington,Elliott Erwitt,1928.0,,Male,1954,Photography
9059,American,The Creature from the House,Clarence John Laughlin,1905.0,1985.0,Male,1938,Photography
9060,American,My Secret Life,Louise Bourgeois,1911.0,2010.0,Female,2007,Prints & Illustrated Books
9061,American,Learn to Read Art,Aleksandra Mir,1967.0,,Female,2009,Prints & Illustrated Books
9062,American,"Convention Hall project, Cermak Road, Chicago, IL (Structural model of preliminary scheme)",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1954,Architecture & Design
9063,American,Untitled from Cardinations,Jo Baer,1929.0,,Female,1974,Prints & Illustrated Books
9064,American,"Morton, Mississippi",William Eggleston,1939.0,,Male,1972,Photography
9065,Brazilian,Untitled,Nair Benedicto,1940.0,,Female,1978,Photography
9066,Russian,Printer's proof for cover for Avtomobil' i upravlenie im (The Automobile and Driving It),Nikolai Sedel'nikov,1905.0,1994.0,Male,1928,Prints & Illustrated Books
9067,American,Jack and Jill,"George Overbury (""Pop"") Hart",1868.0,1933.0,Male,1921,Prints & Illustrated Books
9068,British,Hollow Form (Penwith),Barbara Hepworth,1903.0,1975.0,Female,1956,Painting & Sculpture
9069,American,"Who, Where, When, Why, What",Louise Bourgeois,1911.0,2010.0,Female,1999,Prints & Illustrated Books
9070,American,Plate (folio 12) from RECOLLECTION,Fritz Glarner,1899.0,1972.0,Male,1966,Prints & Illustrated Books
9071,American,Still Life from The Metropolitan Scene,Roy Lichtenstein,1923.0,1997.0,Male,1968,Prints & Illustrated Books
9072,British,"STOOR-WORM (plate, folio 24) from THE SCOTTISH BESTIARY",Bruce McLean,1944.0,,Male,1986,Prints & Illustrated Books
9073,American,Twosome,Louise Bourgeois,1911.0,2010.0,Female,2002,Prints & Illustrated Books
9074,American,Untitled from Electric Chairs,Andy Warhol,1928.0,1987.0,Male,1971,Prints & Illustrated Books
9075,American,"Konkretionen, Material 3",Emmett Williams,1925.0,2007.0,Male,1958,Fluxus Collection
9076,Japanese,Post Nirvana,Yutaka Matsuzawa,1922.0,2006.0,Male,1971,Prints & Illustrated Books
9077,American,Raiders of the Lost Ark,Steven Spielberg,1946.0,,Male,1981,Film
9078,American,Cupids and Fans,Robert Kushner,1949.0,,Male,1981,Prints & Illustrated Books
9079,Norwegian,The Bullfighters,Knut Rumohr,1916.0,2002.0,Male,1954,Prints & Illustrated Books
9080,French,Window,Pierre Betz,1899.0,1969.0,Male,1920,Photography
9081,American,Untitled,Frank Stella,1936.0,,Male,1964,Drawings
9082,Swiss,Metamorphosis 601,Helmar Lerski,1871.0,1956.0,Male,1936,Photography
9083,American,Independence/Nakba,Fazal Sheikh,1965.0,,Male,2013,Photography
9084,,Untitled from Fluxus 1,Unknown,,,Gender Unknown,1964,Prints & Illustrated Books
9085,American,Mask of John Lennon,George Maciunas,1931.0,1978.0,Male,1970,Prints & Illustrated Books
9086,American,"Plate (folio 5) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,1928.0,2007.0,Male,1980,Prints & Illustrated Books
9087,Polish,N. B. O. G. z B. SANATORIUM VII,Josef Gielniak,1932.0,1972.0,Male,1964,Prints & Illustrated Books
9088,French,LYCÉE CONDORÇET. RUE CAUMARTIN 65,Eugène Atget,1857.0,1927.0,Male,1913,Photography
9089,American,Sarabande,Nathaniel Dorsky,1943.0,,Male,2008,Film
9090,Japanese,IN A SHOP WINDOW,Masuo Ikeda,1934.0,1997.0,Male,1963,Prints & Illustrated Books
9091,Russian,Manuscript of Rekord nezhnosti: Zhitie Il'ia Zdanevicha (Record of Tenderness: Hagiography of Il'ia Zdanevich),Igor' Terent'ev,1892.0,1937.0,Male,1919,Prints & Illustrated Books
9092,American,Portrait - Old Lady,Paul Strand,1890.0,1976.0,Male,1951,Photography
9093,French,"BELL TOWER OF SAINT CYR SOUS DOURDAN (plate; volume I, page 41) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,1884.0,1974.0,Male,1940,Prints & Illustrated Books
9094,British,Cancellation proof for What Is This Picasso? from The Blue Guitar,David Hockney,1937.0,,Male,1977,Prints & Illustrated Books
9095,Yugoslav,Untitled from Spirit Cooking,Marina Abramović,1946.0,,Female,1996,Prints & Illustrated Books
9096,British,Trongate in the Olden Time,Thomas Annan,1829.0,1887.0,Male,1868,Photography
9097,American,Permanently,Alfred Leslie,1927.0,,Male,1960,Prints & Illustrated Books
9098,American,The Steerage,Alfred Stieglitz,1864.0,1946.0,Male,1907,Photography
9099,French,ROUEN -- LE LYCÉE,Eugène Atget,1857.0,1927.0,Male,1907,Photography
9100,French,La Cité-Notre-Dame,Henri Matisse,1869.0,1954.0,Male,1937,Prints & Illustrated Books
9101,German,Macau Bridge,Wolfgang Tillmans,1968.0,,Male,1993,Photography
9102,American,Paper Dolls,Cindy Sherman,1954.0,,Female,1975,Film
9103,,Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,,,Gender Unknown,1914,Prints & Illustrated Books
9104,French,Ancien couvent des Carmes. Rue de Vaugirard 70,Eugène Atget,1857.0,1927.0,Male,1917,Photography
9105,American,Momma's Man,Azazel Jacobs,1972.0,,Male,2008,Film
9106,American,Cubitainer Recessed Plug and Closure Containers,Thomas W. Winstead,1918.0,,Male,1955,Architecture & Design
9107,British,Untitled,Julian Lethbridge,1947.0,,Male,1995,Prints & Illustrated Books
9108,Mexican,Banana. Costume design for the ballet H.P. (Horsepower),Diego Rivera,1886.0,1957.0,Male,1927,Drawings
9109,American,Glass Partition with Door (Perspective sketch),Ludwig Mies van der Rohe,1886.0,1969.0,Male,1936,Architecture & Design
9110,,"""The Chains are Broken"": Young Girls Bearing in the Streets of Petrograd Sections of Chains from the Prisons of the Romanoff Regime",London Daily Mirror,,,Gender Unknown,1917,Photography
9111,French,Fusses (Affairements),Jean Dubuffet,1901.0,1985.0,Male,1964,Prints & Illustrated Books
9112,South African,Form + Ideology,Michael Oblowitz,,,Male,1977,Film
9113,American,Fat,Peggy Bacon,1895.0,1987.0,Female,1926,Prints & Illustrated Books
9114,American,"Plate (suite, plate 5) from THE PLAIN OF SMOKES",Ken Price,1935.0,2012.0,Male,1980,Prints & Illustrated Books
9115,American,"Just About to Step Into the Bus for the Assembly Center, San Francisco",Dorothea Lange,1895.0,1965.0,Female,1942,Photography
9116,Canadian,Peggy's Blue Skylight,Joyce Wieland,1931.0,1998.0,Female,1964,Film
9117,German,Drapery Fabric,Richard Riemerschmid,1868.0,1957.0,Male,1907,Architecture & Design
9118,American,Charis,Edward Weston,1886.0,1958.0,Male,1942,Photography
9119,American,Willard's Foot,Barbara Morgan,1900.0,1992.0,Female,1945,Photography
9120,American,Cane,Martin Puryear,1941.0,,Male,2000,Prints & Illustrated Books
9121,American,"Collage, 269",Anne Ryan,1889.0,1954.0,Female,1949,Drawings
9122,British,RAGLAN CASTLE,Alfred Capel Cure,1826.0,1896.0,Male,1859,Photography
9123,Austrian,Macchu-Piccho,Hundertwasser (Friedrich Stowasser),1928.0,2000.0,Male,1966,Prints & Illustrated Books
9124,French,Maquette for Right Profile (Profile à droite),Jean Dubuffet,1901.0,1985.0,Male,1961,Prints & Illustrated Books
9125,American,"Old Jail, Smithville, Georgia",William Eggleston,1939.0,,Male,1976,Photography
9126,Canadian,Love Letter to Doug from The Hundred Videos,Steve Reinke,1963.0,,Male,1994,Media and Performance Art
9127,French,"Parisian (Parisienne) from L'Estampe moderne, no. 20",P. C. Helleu,1859.0,1927.0,Male,1898,Prints & Illustrated Books
9128,American,"Pinball House, Los Angeles, CA (Plan)",Eric Owen Moss,1943.0,,Male,1980,Architecture & Design
9129,American,Untitled,Lee Bontecou,1931.0,,Female,1997,Drawings
9130,American,"Study for Sinnorama #1, #2, #3",Jim Shaw,1952.0,,Male,1990,Drawings
9131,American,"Untitled, no. 67 of 69, from the illustrated book, Album",Louise Bourgeois,1911.0,2010.0,Female,1994,Prints & Illustrated Books
9132,American,TV Antennae,Ben Shahn,1898.0,1969.0,Male,1953,Prints & Illustrated Books
9133,American,The Feeding,Louise Bourgeois,1911.0,2010.0,Female,2007,Drawings
9134,Japanese,Guitar Wolf,Yoshitomo Nara,1959.0,,Male,1996,Drawings
9135,American,No (2),Louise Bourgeois,1911.0,2010.0,Female,1973,Prints & Illustrated Books
9136,French,Poirier. Sucy-en-Brie,Eugène Atget,1857.0,1927.0,Male,1905,Photography
9137,French,PROVINS (VIEILLE MAISON),Eugène Atget,1857.0,1927.0,Male,1923,Photography
9138,American,"Untitled, plate 6 of 15, from the series, Nature Study",Louise Bourgeois,1911.0,2010.0,Female,2009,Prints & Illustrated Books
9139,German,Donnerstagvorträge im Februar,Otl Aicher (also known as Otto Aicher),1922.0,1991.0,Male,1951,Architecture & Design
9140,Italian,Plate from Portrait of Antonin Artaud,Lucio Fontana,1899.0,1968.0,Male,1968,Prints & Illustrated Books
9141,American,Analogue,Zoe Leonard,1961.0,,Female,2004,Photography
9142,American,"Yosemite Valley, Clearing Thunderstorm, from Tunnel Esplanade, California",Ansel Adams,1902.0,1984.0,Male,1972,Photography
9143,Zimbabwean,Dying People in the Bush,Thomas Mukarobgwa,1924.0,1999.0,Male,1962,Drawings
9144,American,Park,Walt Kuhn,1877.0,1949.0,Male,1925,Prints & Illustrated Books
9145,American,"Untitled from the series Six Geometric Figures, Superimposed in Pairs",Sol LeWitt,1928.0,2007.0,Male,1977,Prints & Illustrated Books
9146,French,Pictorial initial L (folio 17 verso) from LE BESTIAIRE,Roger Chastel,1897.0,1981.0,Male,1948,Prints & Illustrated Books
9147,French,"The Park (Le Parc) from L'Estampe moderne, no. 3",G. de Latenay,1859.0,1943.0,Male,1897,Prints & Illustrated Books
9148,American,Abstract Painting,Ad Reinhardt,1913.0,1967.0,Male,1963,Painting & Sculpture
9149,British,Lapeyrouse Wall,Peter Doig,1959.0,,Male,2004,Drawings
9150,American,New York City,Lee Friedlander,1934.0,,Male,1965,Photography
9151,Mexican,MEN AT THE TABLE,Leopoldo Méndez,1902.0,1969.0,Male,1931,Prints & Illustrated Books
9152,Chilean,My Blind,Roberto Matta,1911.0,2002.0,Male,1946,Painting & Sculpture
9153,British,"MOUNT SERBÁL, FROM THE WÁDEE FEYRÁN (Plate 2)",Francis Frith,1822.0,1898.0,Male,1859,Photography
9154,American,"Gothic Houses, Salem, Massachusetts",Walker Evans,1903.0,1975.0,Male,1932,Photography
9155,German,"The Battle of the Jews (Der Kampf der Juden) (plate, folio 32) from Das Buch Judith (The Book of Judith)",Lovis Corinth,1858.0,1925.0,Male,1910,Prints & Illustrated Books
9156,French,"Progressive proof of first 3 colors for Plate 4 (supplementary suite, plate 45) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,1887.0,1985.0,Male,1944,Prints & Illustrated Books
9157,Dutch,Tafel met stilleven from The Archives: Art Information Centre Peter Van Beveren,Klaas Gubbels,1934.0,,Male,1981,Prints & Illustrated Books
9158,American,"Texas State Fair, Dallas. (woman sitting on wood curb, young boy in cowboy shirt)",Garry Winogrand,1928.0,1984.0,Male,1964,Photography
9159,American,"Detail of a Frame House in Ossining, New York",Walker Evans,1903.0,1975.0,Male,1931,Photography
9160,American,Benny and Mary Ellen Andrews,Alice Neel,1900.0,1984.0,Female,1972,Painting & Sculpture
9161,French,Sarx,Gérard Titus-Carmel,1942.0,,Male,1977,Prints & Illustrated Books
9162,American,"PANNA JADVIGA ON A BOAT (in-text plate, page 72) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,1885.0,1930.0,Male,1910,Prints & Illustrated Books
9163,American,Cow,Alexander Calder,1898.0,1976.0,Male,1929,Painting & Sculpture
9164,French,Tailpiece (page 19) from POÈMES,Maurice Denis,1870.0,1943.0,Male,1939,Prints & Illustrated Books
9165,American,The World War,Max Oppenheimer (MOPP),1885.0,1954.0,Male,1916,Painting & Sculpture
9166,American,"Amherst, Massachusetts",Lee Friedlander,1934.0,,Male,1971,Photography
9167,American,Chocolate Utopian Underground City with Yellow Inner Structure Station with Square Grid under Construction Safety Chrysalis and Abandon Square Habitat with White Expulsion Area and Central White Mine Tunnel Transportation Center,Dannielle Tegeder,1971.0,,Female,2003,Drawings
9168,French,"Why Should There Not Exist a World Composed of Invisible, Odd, Fantastic, Embryonic Beings? (Pourquoi n'existerait-il pas un monde composé d'êtres invisibles, bizarres, fantastiques, embryonnaires?) (plate) from Le Juré",Odilon Redon,1840.0,1916.0,Male,1887,Prints & Illustrated Books
9169,American,THE CAPSULE from the portfolio APOCALYPSE,Sid Hammer,1926.0,1969.0,Male,1961,Prints & Illustrated Books
9170,French,Plate (page 141) from FLORILÈGE DES AMOURS,Henri Matisse,1869.0,1954.0,Male,1944,Prints & Illustrated Books
9171,Venezuelan,Transfer Node,Jorge Rigamonti,1940.0,2008.0,Gender Unknown,1966,Architecture & Design
9172,American,Untitled,Maryan S. Maryan,1927.0,1977.0,Male,1967,Prints & Illustrated Books
9173,British,Pelican Man,Peter Doig,1959.0,,Male,2003,Drawings
9174,Russian,"LEF. Zhurnal levogo fronta iskusstv, nos. 2 and 3",Aleksandr Rodchenko,1891.0,1956.0,Male,1923,Prints & Illustrated Books
9175,French,Plate (page 205) from LE SATIRICON,Othon Friesz,1879.0,1949.0,Male,1948,Prints & Illustrated Books
9176,American,Zen for Head,Nam June Paik,1932.0,2006.0,Male,1962,Fluxus Collection
9177,American,Coffee Thyme,Sam Gilliam,1933.0,,Male,1977,Painting & Sculpture
9178,French,RUE DU CHEVALIER-DE-LA-BARRE,Eugène Atget,1857.0,1927.0,Male,1924,Photography
9179,American,"OGV-Blackviolet from Untitled (OGV-Blackviolet, OGV-Blackgreen, and OGV-Blackorange)",Dan Walsh,1960.0,,Male,2007,Prints & Illustrated Books
9180,American,Untitled from Cuban Sketch Book,Jules Pascin,1885.0,1930.0,Male,1917,Drawings
9181,American,Untitled,Sam Francis,1923.0,1994.0,Male,1984,Prints & Illustrated Books
9182,Swiss,Das Kind und Seine Welt,Jörg Hamburger,1935.0,,Male,1962,Architecture & Design
9183,American,Untitled from Poem Posters,Charles Henri Ford,1908.0,2002.0,Male,1964,Prints & Illustrated Books
9184,American,Personal Velocity: Three Portraits,Rebecca Miller,1962.0,,Female,2002,Film
9185,American,Le Père et les 3 Fils,Louise Bourgeois,1911.0,2010.0,Female,1998,Prints & Illustrated Books
9186,Italian,Untitled,Gianni Dessi,1955.0,,Male,1984,Drawings
9187,American,"Album cover for Liquid Liquid, Slip In and Out of Phenomenon",Richard McGuire,1957.0,,Male,2008,Architecture & Design
9188,French,Plate (folio 16) from ESCALES,André Lhote,1885.0,1962.0,Male,1920,Prints & Illustrated Books
9189,American,"Jimmy, Easter Sunday",Jerry Berndt,1943.0,2013.0,Male,1983,Photography
9190,German,Plate (folio 10) from 20 ORIGINALRADIERUNGEN,Karl Bohrmann,1928.0,1998.0,Male,1967,Prints & Illustrated Books
9191,Spanish,"Plate IV (folio 15) from LA BAGUE D'AURORE, Suite",Joan Miró,1893.0,1983.0,Male,1957,Prints & Illustrated Books
9192,American,Plate (folio 32) from Geometric Figures within Geometric Figures,Sol LeWitt,1928.0,2007.0,Male,1976,Prints & Illustrated Books
9193,Hungarian,Composition,Lajos D'Ebneth,1902.0,1982.0,Male,1926,Painting & Sculpture
9194,American,Terry Riley vocal score for Circle the Mountain,Terry Riley,1935.0,,Male,1985,Media and Performance Art
9195,French,Plate (page 118) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,1871.0,1958.0,Male,1932,Prints & Illustrated Books
9196,French,Exposition d'Œuvres d'Alphonse Lévy,Alphonse Levy,1843.0,1918.0,Male,1897,Architecture & Design
9197,French,"Bièvres, place de l'Eglise",Eugène Atget,1857.0,1927.0,Male,1924,Photography
9198,Dutch,Architecture Panoramas,Jan Dibbets,1941.0,,Male,1971,Photography
9199,Colombian,Untitled #210,José Antonio Suárez Londoño,1955.0,,Male,2003,Prints & Illustrated Books
9200,American,Two Mexican Children,Anton Bruehl,1900.0,1982.0,Male,1932,Photography
9201,French,"Sketchbook: El Golea, II",Jean Dubuffet,1901.0,1985.0,Male,1948,Drawings
9202,French,"Seville, Spain",Henri Cartier-Bresson,1908.0,2004.0,Male,1933,Photography
9203,American,Wind Radio from Fluxkit,Joe Jones,1934.0,1993.0,Male,1965,Prints & Illustrated Books
9204,American,Satisfied Man,Kerry James Marshall,1955.0,,Male,2015,Prints & Illustrated Books
9205,American,Plate (folio 28) from CENTURY OF THE COMMON MAN,Hugo Gellert,1892.0,1985.0,Male,1943,Prints & Illustrated Books
9206,Russian,Asnova,El Lissitzky,1890.0,1941.0,Male,1926,Architecture & Design
9207,Dutch,Calculator,Paulus van Leeuwen,1955.0,,Male,1983,Architecture & Design
9208,German,"Berlin, die Sinfonie der Grossstadt",Walther Ruttmann,1887.0,1941.0,Male,1927,Film
9209,American,Untitled (page 18) from ENDOCRINOLOGY,Kiki Smith,1954.0,,Female,1997,Prints & Illustrated Books
9210,American,Shrug of the Shoulder,John Gutmann,1905.0,1998.0,Male,1935,Photography
9211,American,"Campesino, Venezuela",Dorothea Lange,1895.0,1965.0,Female,1960,Photography
9212,British,"Untitled, Programme 2 from Ian Breakwell's Continuous Diary",Ian Breakwell,1943.0,2005.0,Male,1986,Media and Performance Art
9213,Russian,A Door,Vladimir Borissovitch Yankilevsky,1938.0,,Gender Unknown,1972,Photography
9214,American,Rain Falling on Water,Louise Bourgeois,1911.0,2010.0,Female,2003,Prints & Illustrated Books
9215,Various,Poster of the French National Railroad,Album-miscellaneous,,,Gender Unknown,1922,Architecture & Design
9216,French,Fireworks on the Night of Longchamp,Brassaï (Gyula Halász),1899.0,1984.0,Male,1936,Photography
9217,German,"Head with Pipe, E.N. (Kopf mit Pfeife, E.N.)",Emil Nolde,1867.0,1956.0,Male,1907,Prints & Illustrated Books
9218,American,"Untitled, plate 1 of 5, from the illustrated book, The Laws of Nature",Louise Bourgeois,1911.0,2010.0,Female,2000,Prints & Illustrated Books
9219,American,Untitled from Coyote Stories,Chris Burden,1946.0,2015.0,Male,2005,Prints & Illustrated Books
9220,Italian,Postal Dossier (Dossier postale),Alighiero Boetti,1940.0,1994.0,Male,1970,Prints & Illustrated Books
9221,American,The saw mill: From the raft to the saw,Frances Benjamin Johnston,1864.0,1952.0,Female,1900,Photography
9222,American,Black Dress from S.M.S. No. 1,James Lee Byars,1932.0,1997.0,Male,1968,Prints & Illustrated Books
9223,French,Spectacles,Jean Dubuffet,1901.0,1985.0,Male,1961,Prints & Illustrated Books
9224,French,"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962",Ben Vautier,1935.0,,Male,1962,Prints & Illustrated Books
9225,German,In Tibet,Günter Haese,1924.0,,Male,1964,Painting & Sculpture
9226,French,"Plate 5 from L'AVANGUARDIA INTERNAZIONALE, Volume 2/L'AVANT-GARDE INTERNATIONALE, Volume 2/THE INTERNATIONAL AVANT-GARDE, Volume 2",Guy Harloff,1933.0,1991.0,Male,1962,Prints & Illustrated Books
9227,Japanese,"Stray Dog, Misawa",Daido Moriyama,1938.0,,Male,1971,Photography
9228,French,HÔTEL DES AMBASSADEURS. 47 RUE VIEILLE-DU-TEMPLE,Eugène Atget,1857.0,1927.0,Male,1900,Photography
9229,German,"Invitation to performance at Mobilia, Denmark, July 24-26, 1964",Arthur Köpcke,1928.0,1977.0,Male,1964,Fluxus Collection
9230,Canadian,BLACK VULTURE,Alistair Macready Bell,1913.0,1997.0,Male,1958,Prints & Illustrated Books
9231,Danish,PH Artichoke Lamp,Poul Henningsen,1894.0,1967.0,Male,1958,Architecture & Design
9232,French,"MOB OF PEASANTS, plate XXVIII (facing page 114) from LES ÂMES MORTES",Marc Chagall,1887.0,1985.0,Male,1936,Prints & Illustrated Books
9233,American,Untitled,Richard Wright,1960.0,,Male,2004,Prints & Illustrated Books
9234,American,Partial Truth,Bruce Nauman,1941.0,,Male,1997,Prints & Illustrated Books
9235,Japanese,Shino-Dan: Kono Yoh Ni Watachi Wa Kiita,Koichi Sato,1944.0,,Male,1976,Architecture & Design
9236,Belgian,Plate 7 (folio 27) from LE PETIT CHAPERON ROUGE,Edgard Tytgat,1879.0,1957.0,Male,1916,Prints & Illustrated Books
9237,French,Pavillon du Hanovre. Boulevard des Italiens 33,Eugène Atget,1857.0,1927.0,Male,1903,Photography
9238,Czech,Keeping Together Manifestation,Milan Knížák,1940.0,,Male,1967,Prints & Illustrated Books
9239,American,Hook and Eye,Alan Turner,1943.0,,Male,1990,Prints & Illustrated Books
9240,Czech,Predlohy pro odborne kresleni typograficke,Zdenek Rossmann,1905.0,1984.0,Male,1934,Architecture & Design
9241,,Reims Cathedral (exterior detail),Unknown,,,Gender Unknown,1876,Photography
9242,German,North Africa,Rudolf Kügler,1921.0,2013.0,Male,1936,Prints & Illustrated Books
9243,American,Good Time Charley,Jasper Johns,1930.0,,Male,1972,Prints & Illustrated Books
9244,American,PROFILE,Edward Steichen,1879.0,1973.0,Male,1904,Photography
9245,Haitian,Lumumba: Death of a Prophet,Raoul Peck,1953.0,,Male,1992,Film
9246,French,Headpiece (page 91) from POÈMES,Maurice Denis,1870.0,1943.0,Male,1939,Prints & Illustrated Books
9247,British,PYLON GATEWAY AT MEDINET-HABOO,Francis Frith,1822.0,1898.0,Male,1857,Photography
9248,American,"American System-Built Houses for The Richards Company project, Milwaukee, Wisconsin (Plans)",Frank Lloyd Wright,1867.0,1959.0,Male,1916,Architecture & Design
9249,Swiss,Plate (folio 12 verso) from DER MOSAIKELEFANT UND ANDERE GEDICHTE,Bernhard Luginbühl,1929.0,2011.0,Male,1984,Prints & Illustrated Books
9250,American,"Church and 2nd Streets, Easton, Pennsylvania, June 20, 1974",Stephen Shore,1947.0,,Male,1974,Photography
9251,British,Ornamental initial Q (page 13) from CANTICUM CANTICORUM SALOMONIS,Eric Gill,1882.0,1940.0,Male,1931,Prints & Illustrated Books
9252,American,St. Louis Symphony,Saul Steinberg,1914.0,1999.0,Male,1974,Architecture & Design
9253,American,"Brick Building in the Shadow of a Grain Elevator - Cashion, Oklahoma",Frank Gohlke,1942.0,,Male,1974,Photography
9254,American,Landscape with Steer,Jackson Pollock,1912.0,1956.0,Male,1936,Prints & Illustrated Books
9255,American,Standing Female Figure,Max Weber,1881.0,1961.0,Male,1952,Prints & Illustrated Books
9256,German,Untitled III,Joseph Beuys,1921.0,1986.0,Male,1964,Painting & Sculpture
9257,Japanese,Specifications Coordinate System and Membrane Stresses for a Spherical and Cylindrical Shell,Yukihisa Isobe,1936.0,,Male,1968,Prints & Illustrated Books
9258,American,"Lotus, Mount Kisco, New York",Edward Steichen,1879.0,1973.0,Male,1915,Photography
9259,Chilean,"Duplicate of plate from page 42 (supplementary suite, plate 8) from LES DAMNATIONS",Roberto Matta,1911.0,2002.0,Male,1966,Prints & Illustrated Books
9260,American,Title page from the portfolio Six Latin Writers and Poets,Cy Twombly,1928.0,2011.0,Male,1976,Prints & Illustrated Books
9261,French,CHÂTEAU DE CHATOU,Eugène Atget,1857.0,1927.0,Male,1911,Photography
9262,South African,Phamokate from Break the Silence!,Osiah Masekoameng,,,Male,2000,Prints & Illustrated Books
9263,American,"The Brown Sisters, Cambridge, Massachusetts",Nicholas Nixon,1947.0,,Male,1989,Photography
9264,American,"Plate 7 of 9, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,1911.0,2010.0,Female,1946,Prints & Illustrated Books
9265,French,"Duplicate of in-text plate and initial A from page 61 (supplementary suite, plate 24) from LA BELLE ENFANT",Raoul Dufy,1877.0,1953.0,Male,1930,Prints & Illustrated Books
9266,,PIPALIA TANK,Unknown,,,Gender Unknown,1899,Photography
