,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
3084,American,Mirror #1,Max Weber,1881.0,1961.0,Male,1928,Prints & Illustrated Books
3085,American,"Imperial Hotel, Tokyo, Japan",Frank Lloyd Wright,1867.0,1959.0,Male,1918,Architecture & Design
3086,Spanish,Headpiece (page 41) from PARLER SEUL,Joan Miró,1893.0,1983.0,Male,1949,Prints & Illustrated Books
3087,American,Girls in the Naked Girl Business: Charlie,Zak Smith,1976.0,,Male,2004,Drawings
3088,American,"""Heavyweight of the Universe""",Times Wide World Photos,1919.0,1941.0,Gender Unknown,1923,Photography
3089,American,"Location unknown, (woman waiting at curb, man walking behind)",Lee Friedlander,1934.0,,Male,1969,Photography
3090,American,Untitled,Kara Walker,1969.0,,Female,1996,Drawings
3091,American,Detroit,Harry Callahan,1912.0,1999.0,Male,1945,Photography
3092,French,Plate (page 31) from CIRQUE,Fernand Léger,1881.0,1955.0,Male,1950,Prints & Illustrated Books
3093,Italian,Relief,Piero Dorazio,1927.0,2005.0,Male,1953,Painting & Sculpture
3094,American,Canto X from 18 Cantos,Barnett Newman,1905.0,1970.0,Male,1964,Prints & Illustrated Books
3095,American,The Shot Heard 'Round the World,Philip Knoll,1959.0,,Male,2003,Drawings
3096,American,Breakfast in My Stomach,Louise Bourgeois,1911.0,2010.0,Female,2000,Prints & Illustrated Books
3097,Venezuelan,Untitled,Alfredo Boulton,1908.0,1995.0,Male,1940,Photography
3098,German,Untitled,A.R. Penck (Ralf Winkler),1939.0,2017.0,Male,1974,Drawings
3099,American,Georgia O'Keeffe - Hands,Alfred Stieglitz,1864.0,1946.0,Male,1921,Photography
3100,American,The Nut,Theodore Reed,1887.0,1959.0,Male,1921,Film
3101,American,Untitled,Hedda Sterne,1910.0,,Female,1967,Prints & Illustrated Books
3102,American,"Norfolk, Connecticut",Larry Fink,1941.0,,Male,1978,Photography
3103,British,Credits,Keith Coventry,1958.0,,Male,1992,Painting & Sculpture
3104,American,"Fluxsports, performed during Perpetual Fluxus Festival, Washington Square Gallery, New York, September 18, 1964",Peter Moore,1932.0,1993.0,Male,1964,Prints & Illustrated Books
3105,American,An Egg from Peace is Patriotic,William Frederick Weege III,1935.0,,Male,1967,Prints & Illustrated Books
3106,French,"Conversation, Madrid",Brassaï (Gyula Halász),1899.0,1984.0,Male,1950,Photography
3107,Danish,Armchair,Finn Juhl,1912.0,1989.0,Male,1951,Architecture & Design
